cluster1,cluster2,cluster3,ID,plot_order,latitude,longitude
0.00,1.00,0.00,BM288,18,-3.3228,-51.8448
0.00,1.00,0.00,GN71,21,-9.7307,-54.6064
0.00,0.00,1.00,H1907,6,-9.4459,-64.8247
0.00,0.00,1.00,H1911,4,-9.4358,-64.8203
0.00,0.00,1.00,H2546,7,-9.5979,-65.3576
1.00,0.00,0.00,IBSPCRIB0361,34,-23.7564,-46.0247
1.00,0.00,0.00,ICST764,31,-9.8092,-36.2838
1.00,0.00,0.00,JFT459,37,-20.2811,-40.5219
1.00,0.00,0.00,JFT773,38,-19.96,-40.52
1.00,0.00,0.00,LG1299,44,-15.2696,-39.0694
0.00,0.00,1.00,LSUMZH12577,12,-0.2172,-75.8069
0.00,0.00,1.00,LSUMZH12751,11,-0.2172,-75.8069
0.00,1.00,0.00,LSUMZH13910,14,-8.2509,-72.7677
0.00,0.00,1.00,LSUMZH14100,8,-8.3464,-65.7161
0.00,1.00,0.00,LSUMZH14336,19,-3.1354,-54.8416
0.00,0.00,1.00,LSUMZH15476,9,-10.3167,-64.55
0.00,1.00,0.00,MPEG20846,22,-2.6096,-56.1842
0.00,0.00,1.00,MPEG21348,3,-11.6996,-64.3915
0.00,1.00,0.00,MPEG22415,28,-1.2169,-48.2948
0.00,1.00,0.00,MPEG24758,17,-1.7731,-56.3706
0.00,1.00,0.00,MPEG26102,29,-1.9969,-51.6418
0.00,1.00,0.00,MPEG28489,24,-2.5475,-56.2256
0.00,1.00,0.00,MPEG29314,16,-2.9096,-59.0495
0.00,1.00,0.00,MPEG29943,20,-4.1144,-55.6771
1.00,0.00,0.00,MTR05978,33,-15.1547,-39.5233
1.00,0.00,0.00,MTR12338,36,-19.4483,-40.0804
1.00,0.00,0.00,MTR12511,46,-19.0564,-39.8942
1.00,0.00,0.00,MTR15267,40,-22.4354,-42.6216
1.00,0.00,0.00,MTR17744,39,-19.6411,-42.5333
0.00,0.00,1.00,MTR18550,1,-4.3074,-61.8135
1.00,0.00,0.00,MTR20798,25,4.4621,-61.1451
0.00,1.00,0.00,MTR21474,27,-2.9979,-59.9494
1.00,0.00,0.00,MTR21545,35,-19.0556,-40.1473
0.00,0.00,1.00,MTR25584,2,-10.7868,-63.6281
0.00,1.00,0.00,MTR28048,26,-7.4424,-73.6575
0.00,1.00,0.00,MTR28401,15,-7.5016,-73.7214
0.00,1.00,0.00,MTR28593,13,-10.0679,-67.6063
1.00,0.00,0.00,MTR34227,43,-15.8958,-39.6611
1.00,0.00,0.00,MTR34414,45,-16.442,-39.07
0.00,1.00,0.00,MTR976723,23,-13.1833,-53.2564
0.00,1.00,0.00,MTR978312,30,-9.9,-51.2
1.00,0.00,0.00,MTRX1468,42,-20.9031,-41.7192
1.00,0.00,0.00,MTRX1478,41,-22.9712,-43.2547
1.00,0.00,0.00,MUFAL9635,32,-9.5073,-35.7099
0.00,0.00,1.00,PJD409,10,-5.8174,-57.3956
0.00,0.00,1.00,UNIBAN1670,5,-10.2987,-63.2375