order,genus,species,genetics,voucher_ID,country,state_province,biome,locality,latitude,longitude,source,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
1,Anolis,ortonii,no,CAS_93257,Peru,,Amazonia,Colonia Calleria Rio Calleria 15 km from Ucayali,-8.0417,-74.5556,VertNet,265,112,78,563,335,193,142,265,257,270,256,1801,233,59,35,620,226,484,269
2,Anolis,ortonii,no,CM_64596,Brazil,Para,Amazonia,Oriximina,-1.76,-55.86,VertNet,269,92,80,636,333,219,114,263,278,278,262,2361,380,66,57,1045,213,213,960
3,Anolis,ortonii,no,FPR-COLOMBIA_24734,Colombia,Amazonas,Amazonia,Leticia Isla Santa Sofia Rio Amazonas,-4.0083,-70.2167,Specieslink CRIA,259,95,85,386,313,202,111,261,254,263,254,2765,315,140,22,882,497,673,568
4,Anolis,ortonii,no,FPR-COLOMBIA_24735,Colombia,Amazonas,Amazonia,La Pedrera La Pedrera Rio Caqueta,-1.3283,-69.7333,Specieslink CRIA,258,88,87,416,308,207,101,259,254,262,251,3241,367,188,20,1033,607,765,662
5,Anolis,ortonii,no,H4251,Brazil,Rondonia,Amazonia,UHE Jirau Mutum,-9.5949,-65.0651,Miguel T. Rodrigues,264,106,75,560,335,194,141,262,260,271,257,1774,276,22,59,755,90,425,149
6,Anolis,ortonii,no,H5121,Brazil,Rondonia,Amazonia,UHE Jirau Abuna,-9.5964,-65.3567,Miguel T. Rodrigues,264,106,75,554,334,194,140,262,259,270,257,1669,276,12,62,730,73,412,124
7,Anolis,ortonii,no,KU_126738,Ecuador,Napo,Amazonia,Lago Agrio,0.0847,-76.8828,VertNet,247,97,87,419,304,193,111,242,249,252,241,3477,381,215,18,1083,689,854,1004
8,Anolis,ortonii,no,KU_127093,Ecuador,Pastaza,Amazonia,3 km S Puyo,-1.5,-77.9667,VertNet,213,96,86,471,269,158,111,211,215,217,205,4433,458,298,13,1292,945,1080,1138
9,Anolis,ortonii,no,KU_140126,Brazil,Para,Amazonia,Belem Capanema,-1.2,-47.1833,VertNet,261,96,80,486,327,208,119,256,266,268,256,2471,450,22,70,1224,98,135,1224
10,Anolis,ortonii,no,KU_140130,Brazil,Para,Amazonia,Ananindeva Maquari,-1.45,-48.4833,VertNet,269,94,88,298,324,218,106,266,272,272,264,2478,369,86,50,1041,290,290,1031
11,Anolis,ortonii,no,KU_140133,Brazil,Para,Amazonia,Quatipuru,-0.8667,-46.9833,VertNet,262,93,80,525,327,211,116,256,269,269,256,2596,512,9,81,1404,42,95,1404
12,Anolis,ortonii,no,KU_183498,Ecuador,Sucumbios,Amazonia,Limoncocha,-0.4,-76.6167,VertNet,248,97,86,425,307,195,112,245,250,253,242,3285,333,215,14,976,690,801,918
13,Anolis,ortonii,no,KU_215110,Peru,Madre de Dios,Amazonia,Lago Sandoval ca 12 km E Puerto Maldonado,-12.6333,-69.0833,VertNet,254,112,73,1032,327,174,153,261,238,263,238,2191,339,54,55,929,181,702,181
14,Anolis,ortonii,no,KU_97851,Brazil,Amapa,Amazonia,Serra do Navio,0.9833,-52.05,VertNet,261,86,79,597,323,215,108,256,268,269,253,2471,346,73,44,978,254,333,856
15,Anolis,ortonii,no,LSUMZH12624,Ecuador,Sucumbios,Amazonia,Reserva Faunistica Cuyabeno Estacion Biologica de la Universidad Catolica,-0.2172,-75.8069,Google Earth,254,95,86,527,310,200,110,247,258,259,245,2931,338,155,23,944,504,560,910
16,Anolis,ortonii,no,MCZ_R-173835,Ecuador,Napo,Amazonia,S. side of Rio Napo 6.5km ESE of Puerto Misahualli at La Cruz Blanca on Jatun Sacha Biol. Re. 450 m.,-1.0534,-77.6022,VertNet,239,99,88,413,296,184,112,235,241,243,233,3660,417,199,22,1197,679,895,1150
17,Anolis,ortonii,no,MCZ_R-174430,Ecuador,Orellana,Amazonia,4km N. of Anangu on Garza Cocha at Hosteria La Selve [VERBATIM ELEVATION:260m.],-0.5867,-76.3354,VertNet,251,97,86,482,309,197,112,248,254,255,244,3114,329,192,16,938,613,733,841
18,Anolis,ortonii,no,MCZ_R-57043,Peru,Loreto,Amazonia,Lower Rio Cushabatay Ucayali R. Valley Peru,-7.3034,-75.3354,VertNet,268,120,83,503,338,194,144,268,261,273,260,1738,210,74,32,548,242,519,264
19,Anolis,ortonii,no,MCZ_R-57044,Peru,Amazonas,Amazonia,mouth of Rio Santiago Maranon R. valley Peru,-4.4167,-77.6333,VertNet,267,96,86,376,324,213,111,268,262,271,261,2577,255,173,11,726,548,658,572
20,Anolis,ortonii,no,MCZ_R-57045,Peru,Loreto,Amazonia,Pampa Hermosanr mouth of Rio Cushabatay Peru,-7.2,-75.3,VertNet,269,119,82,501,339,195,144,273,262,273,261,1693,205,68,34,535,228,518,251
21,Anolis,ortonii,no,MPEG26941,Brazil,Amazonas,Amazonia,Coari: Porto Urucu,-4.8854,-65.35,Museu Paraense Emilio Goeldi,264,91,82,306,320,210,110,264,261,268,260,2659,340,90,39,948,311,576,448
22,Anolis,ortonii,no,MPEG27088,Brazil,Para,Amazonia,Juruti: Mutum,-2.6094,-56.1961,Museu Paraense Emilio Goeldi,268,90,81,544,331,221,110,263,275,276,263,2207,331,53,58,974,181,222,916
23,Anolis,ortonii,no,MPEG28256,Brazil,Para,Amazonia,Juruti: road to Barroso,-2.4696,-56.001,Museu Paraense Emilio Goeldi,265,92,81,599,329,216,113,259,272,274,259,2131,327,47,60,945,164,212,881
24,Anolis,ortonii,no,MTR19122,Brazil,Amazonas,Amazonia,Beruri: Moiobamba,-4.7279,-62.1321,based on other specimen from same locality name,264,89,83,377,321,214,107,260,264,269,260,2532,340,87,38,875,311,440,875
25,Anolis,ortonii,no,MVZ_174831,Peru,Amazonas,Amazonia,Quebrada Caterpiza Rio Santiago,-3.9167,-77.7167,VertNet,263,97,85,473,322,209,113,263,257,268,256,2437,245,164,12,709,515,604,547
26,Anolis,ortonii,no,OMNH_40420,Ecuador,Sucumbios,Amazonia,Reserva Faunistica Cuyabeno (RPF-Cuyabeno) Neotropic Turis,0.0133,-75.9688,VertNet,252,95,87,499,309,200,109,246,256,257,245,3168,368,168,22,994,559,616,976
27,Anolis,ortonii,no,SMNS_7139,Peru,Huanuco,Amazonia,Pachitea  Fundo Flor Yuyapichis  Panguana (estacion biologica),-9.6167,-74.9333,VertNet,262,114,82,425,329,191,138,265,255,266,255,1912,292,61,42,719,228,588,228
28,Anolis,ortonii,no,UFMT-R_4191,Brazil,Mato Grosso,Amazonia,Aripuana Brejo do mirante da cachoeira das Andorinhas.,-9.8603,-60.2631,Specieslink CRIA,246,122,67,489,334,154,180,245,242,252,240,1949,341,6,73,943,44,243,89
29,Anolis,ortonii,no,UFMT-R_7067,Brazil,Mato Grosso,Amazonia,Apiacas Cachoeira da fumaca; UHE foz do Apiacas,-9.2474,-57.0888,Specieslink CRIA,260,129,66,545,355,162,193,257,255,266,254,2201,364,9,69,988,46,315,129
30,Anolis,ortonii,no,UFMT-R_7068,Brazil,Mato Grosso,Amazonia,Apiacas UHE Foz do Apiacas,-9.5297,-57.0547,Specieslink CRIA,257,131,67,529,352,159,193,255,251,263,251,2174,370,7,67,960,51,521,141
31,Anolis,ortonii,no,UFMT-R_7080,Brazil,Mato Grosso,Amazonia,Apiacas Igarape do Bruno; estrada margem esquerda; UHE Foz do Apiacas,-9.4269,-57.1265,Specieslink CRIA,257,130,67,508,353,161,192,255,253,263,251,2143,368,6,66,944,53,349,164
32,Anolis,ortonii,no,UFMT-R_7801,Brazil,Mato Grosso,Amazonia,Colniza Porto Kappa; Distrito de Panelas; Estacao Ecologica do Rio Roosevelt,-9.0726,-60.3467,Specieslink CRIA,254,116,67,473,338,166,172,253,250,260,248,2161,362,9,69,1008,58,293,118
33,Anolis,ortonii,no,UFMT-R_7948,Brazil,Mato Grosso,Amazonia,Paranaita P3; modulo 2; Castanheiro,-9.4102,-56.5574,Specieslink CRIA,257,133,67,536,355,159,196,254,252,263,251,2305,389,10,69,1051,49,323,108
34,Anolis,ortonii,no,UFMT-R_9701,Brazil,Para,Amazonia,Terra Santa modulo 2; Parcela 2,-2.1042,-56.4869,Specieslink CRIA,274,86,80,616,336,229,107,268,283,283,268,2358,399,43,60,1054,168,168,1003
35,Anolis,ortonii,no,USNM_234656.6353782,Ecuador,Pastaza,Amazonia,Palanda east of Sarayacu on Rio Bobonaza,-1.7333,-77.4833,VertNet,241,98,88,446,297,186,111,238,243,245,234,3577,370,215,16,1063,717,900,925
36,Anolis,ortonii,no,USNM_234664.635379,Ecuador,Pastaza,Amazonia,Montalvo 5 km S of Don Tomas,-2.0667,-76.95,VertNet,250,99,86,508,309,195,114,246,254,255,243,3141,326,210,15,909,638,780,835
37,Anolis,ortonii,no,USNM_234726.6353852,Ecuador,Napo,Amazonia,Rio Guataracu mouth of tributary of Rio Suno,-0.7667,-77.25,VertNet,243,99,88,420,301,189,112,239,245,248,237,3168,349,163,21,1009,634,833,949
38,Anolis,ortonii,no,USNM_234727.6353853,Ecuador,Napo,Amazonia,Rio Cotopino upper Rio Napo,-0.7167,-77.3833,VertNet,240,100,89,423,298,186,112,236,242,245,234,3269,364,176,22,1051,639,830,1005
39,Anolis,ortonii,no,USNM_234730.6353856,Ecuador,Napo,Amazonia,Rio PAYAMINO,-0.4908,-77.29,VertNet,245,98,87,374,302,190,112,242,248,249,239,3212,345,178,19,1005,680,823,764
40,Anolis,ortonii,no,USNM_234741.6353867,Ecuador,Pastaza,Amazonia,Rio PINDO,-2.1167,-76.05,VertNet,257,98,86,512,314,201,113,249,261,261,249,2933,319,192,16,877,591,620,827
41,Anolis,ortonii,no,USNM_234744.635387,Ecuador,Pastaza,Amazonia,ALTO CURARAY REGION OF,-1.2333,-77.4167,VertNet,239,99,87,425,297,184,113,235,241,243,232,3540,404,184,23,1144,650,907,939
42,Anolis,ortonii,no,USNM_234748.6353874,Ecuador,Pastaza,Amazonia,Rio Rutuno tributary of Rio Bobonaza,-1.9167,-77.2333,VertNet,245,99,87,491,303,190,113,241,248,250,238,3326,342,209,15,967,669,837,876
43,Anolis,ortonii,no,USNM_234749.6353875,Ecuador,Pastaza,Amazonia,Rio VILLANO,-1.5,-77.3333,VertNet,246,98,88,448,303,192,111,242,249,251,239,3436,368,201,19,1056,673,880,883
44,Anolis,ortonii,no,USNM_234751.6353877,Ecuador,Pastaza,Amazonia,Rio Conambo,-1.8667,-76.7833,VertNet,252,99,87,496,310,197,113,248,256,257,245,3159,338,209,16,933,632,783,914
45,Anolis,ortonii,no,USNM_247466.6101327,Peru,Madre de Dios,Amazonia,Puerto Maldonado ca. 30 km (airline) SSW of Tambopata Reserve Explorer's Inn,-12.83,-69.28,VertNet,254,109,73,1066,324,176,148,261,237,263,237,2478,380,72,52,1041,234,781,234
46,Anolis,ortonii,no,USNM_283931.6148638,Ecuador,Morona-Santiago,Amazonia,SUCUA,-2.4667,-78.1667,VertNet,227,98,83,589,289,171,118,225,232,233,218,2266,242,123,20,709,435,462,622
47,Anolis,ortonii,no,USNM_298884.6153793,Peru,Madre de Dios,Amazonia,Salvacion NW bank of Rio Alto Madre de Dios Hacienda Erika,-12.9167,-71.2,VertNet,231,111,80,729,298,160,138,234,221,238,220,3419,465,137,40,1323,457,961,464
48,Anolis,ortonii,no,USNM_303523.615814,Brazil,Para,Amazonia,Altamira ca. 50 km (airline) S of near Cachoeira do Espelho east bank of Rio Xingu,-3.65,-52.38,VertNet,254,95,80,476,315,197,118,250,260,260,249,1947,364,31,69,939,119,152,902
49,Anolis,ortonii,no,USNM_316711.6172534,Peru,Amazonas,Amazonia,Shaim vicinity of on the Rio Alto Comaina (tributary of the Rio Cenepa),-4.25,-78.37,VertNet,229,106,81,580,299,169,130,228,234,237,221,2577,257,175,12,751,584,585,642
50,Anolis,ortonii,no,USNM_316714.6172537,Peru,Amazonas,Amazonia,Rio Kayamas vicinity of (tributary of the Rio Cenepa),-4.47,-78.17,VertNet,253,101,86,438,314,197,117,254,248,258,247,2647,278,181,13,765,568,639,591
51,Anolis,ortonii,no,USNM_321079.6177797,Ecuador,Pastaza,Amazonia,Coca 130 km S of Tiguino (UNOCAL Base Camp),-1.12,-76.95,VertNet,248,98,88,447,305,194,111,244,251,252,241,3209,352,188,19,995,637,833,946
52,Anolis,ortonii,no,USNM_333024.6193211,Peru,Madre de Dios,Amazonia,Pakitza Reserve Zone Manu National Park ca. 57 km (airline) NW of mouth of Rio Manu on Rio Manu,-11.87,-71.3,VertNet,252,112,78,689,318,175,143,255,242,258,241,2492,333,78,45,954,263,783,276
53,Anolis,ortonii,no,USNM_538302.6505888,Peru,Cuzco,Amazonia,Cashiriari-2 (Armihuari) ca. 4 km S of the Camisea River,-11.8633,-72.7789,VertNet,252,123,80,548,326,173,153,252,244,256,244,1870,252,54,46,717,187,605,187
54,Anolis,ortonii,no,USNM_567973.6558766,Peru,Amazonas,Amazonia,Galilea on the Rio Santiago,-4.0147,-77.7786,VertNet,262,97,85,444,322,208,114,263,257,267,255,2472,249,167,12,715,526,612,556
55,Anolis,ortonii,no,CHUNB11122,Brazil,Bahia,Atlantic Forest,Praia do Forte,-12.57,-38,Ribeiro-Junior 2015 Zootaxa,248,74,66,1250,304,193,111,243,248,261,230,1733,307,73,49,756,248,331,497
56,Anolis,ortonii,no,LG1783,Brazil,Bahia,Atlantic Forest,Jussari: Serra do Teimoso,-15.1547,-39.5233,Miguel T. Rodrigues,233,75,65,1191,289,174,115,243,229,247,216,1153,127,58,26,374,199,351,239
57,Anolis,ortonii,no,MTR18000,Brazil,Sergipe,Atlantic Forest,Itabaiana,-10.6748,-37.4271,Google Earth,241,76,66,1417,298,183,115,227,251,256,220,1010,168,32,58,471,105,145,408
58,Anolis,ortonii,no,MZUSP39578,Brazil,Espirito Santo,Atlantic Forest,Linhares,-19.4,-40.07,Ribeiro-Junior 2015 Zootaxa,242,91,61,1683,316,168,148,257,221,263,220,1202,189,36,52,535,139,360,143
59,Anolis,ortonii,no,MZUSP40729,Brazil,Bahia,Atlantic Forest,Salvador Parque Jovelino Silva,-13,-38.47,Ribeiro-Junior 2015 Zootaxa,251,66,66,1109,304,204,100,246,251,265,235,1733,273,74,45,717,273,324,512
60,Anolis,ortonii,no,MZUSP40731,Brazil,Pernambuco,Atlantic Forest,Recife Parque Dois Irmaos,-8,-34.95,Ribeiro-Junior 2015 Zootaxa,252,68,70,1021,300,203,97,242,258,263,237,1686,269,30,64,794,116,341,678
61,Anolis,ortonii,no,MZUSP49376,Brazil,Sergipe,Atlantic Forest,Santo Amaro das Brotas Arauaris,-10.71,-37.02,Ribeiro-Junior 2015 Zootaxa,254,68,66,1195,305,203,102,252,263,267,237,1443,274,35,64,685,116,211,528
62,Anolis,ortonii,no,MZUSP56720,Brazil,Bahia,Atlantic Forest,Ilheus Fazenda Sao Pedro Rio do Braco,-14.8,-39.05,Ribeiro-Junior 2015 Zootaxa,247,63,61,936,296,194,102,254,247,258,233,1916,201,128,14,560,395,510,507
63,Anolis,ortonii,no,MZUSP60902,Brazil,Paraiba,Atlantic Forest,Fazenda Pacatuba 10 km NE Sape,-7.05,-35.17,Ribeiro-Junior 2015 Zootaxa,253,89,72,1198,314,191,123,249,258,265,235,1178,184,21,62,530,73,276,434
64,Anolis,ortonii,no,MZUSP65988,Brazil,Paraiba,Atlantic Forest,Joao Pessoa,-7.2,-34.9,Ribeiro-Junior 2015 Zootaxa,252,82,70,1008,307,190,117,241,258,262,236,1802,293,36,60,801,134,394,702
65,Anolis,ortonii,no,MZUSP89858,Brazil,Bahia,Atlantic Forest,Una,-15.17,-39.12,Ribeiro-Junior 2015 Zootaxa,240,69,63,1090,292,183,109,245,233,253,224,1520,151,95,12,416,329,409,364
66,Anolis,ortonii,no,MZUSP92167,Brazil,Bahia,Atlantic Forest,Salvador,-13,-38.5,Ribeiro-Junior 2015 Zootaxa,251,65,65,1133,304,204,100,245,251,264,235,1811,292,77,46,756,283,333,537
67,Anolis,ortonii,yes,BM028,Brazil,Para,Amazonia,Vitoria do Xingu: UHE Belo Monte,-3.3228,-51.8448,Miguel T. Rodrigues,256,93,80,457,317,201,116,252,262,263,251,2101,398,31,70,1004,109,152,942
68,Anolis,ortonii,yes,BM565,Brazil,Para,Amazonia,Anapu,-3.4051,-51.4222,Google Earth,260,93,80,444,320,204,116,256,265,267,256,2197,358,34,70,1028,115,149,969
69,Anolis,ortonii,yes,H2026,Brazil,RO,Amazonia,Porto_Velho_Mutum,-9.5981,-65.0478,this_study,264,106,75,606,334,193,141,261,259,271,256,1783,276,22,59,757,90,264,150
70,Anolis,ortonii,yes,H2594,Brazil,RO,Amazonia,Porto_Velho_Abuna,-9.6341,-65.4399,this_study,263,106,75,575,334,193,141,262,259,271,256,1626,269,9,64,713,65,411,114
71,Anolis,ortonii,yes,LSUMZH12993,Ecuador,Sucumbios,Amazonia,Reserva_Faunistica_Cuyabeno_Neotropic_Turis,-0.2172,-75.8069,this_study,254,95,86,527,310,200,110,247,258,259,245,2931,338,155,23,944,504,560,910
72,Anolis,ortonii,yes,LSUMZH13904,Brazil,Acre,Amazonia,Porto Walter: Rio Jurua,-8.2509,-72.7677,LSU Museum of Natural Science,255,103,75,584,319,183,136,258,247,261,246,2149,308,37,49,822,174,675,247
73,Anolis,ortonii,yes,LSUMZH14099,Brazil,Amazonas,Amazonia,Labrea: Rio Ituxi Madeirera Scheffer,-8.3464,-65.7161,LSU Museum of Natural Science,263,105,78,443,328,194,134,263,258,267,256,2130,320,22,63,917,98,508,123
74,Anolis,ortonii,yes,LSUMZH14163,Brazil,Para,Amazonia,Alter de Chao,-2.5027,-54.9718,LSU Museum of Natural Science,261,93,78,563,323,204,119,257,267,269,255,1977,340,33,66,928,122,145,482
75,Anolis,ortonii,yes,LSUMZH14304,Brazil,Para,Amazonia,Belterra: Agropecuaria Treviso LTDA,-3.1456,-54.8396,LSU Museum of Natural Science,256,96,79,537,319,198,121,252,262,264,251,1945,339,44,64,890,150,164,796
76,Anolis,ortonii,yes,MPEG25699,Brazil,PA,Amazonia,Portel_FLONA_Caxiuana_Plote_PPBIO,-1.9936,-51.6153,this_study,268,97,86,440,329,217,112,264,273,273,262,2242,334,56,57,972,186,195,862
77,Anolis,ortonii,yes,MPEG27688,Brazil,PA,Amazonia,Belem_Campus_de_Pesquisa_do_MPEG,-1.451,-48.4453,this_study,268,94,88,309,323,217,106,265,271,271,263,2504,375,88,50,1047,295,295,1044
