cluster1,cluster2,ID,latitude,longitude
1.00,0.00,BM028,-3.3228,-51.8448
1.00,0.00,BM565,-3.4051,-51.4222
1.00,0.00,H2026,-9.5981,-65.0478
1.00,0.00,H2594,-9.6341,-65.4399
0.99,0.01,LSUMZH12993,-0.2172,-75.8069
1.00,0.00,LSUMZH13904,-8.2509,-72.7677
1.00,0.00,LSUMZH14099,-8.3464,-65.7161
1.00,0.00,LSUMZH14163,-2.5027,-54.9718
1.00,0.00,LSUMZH14304,-3.1456,-54.8396
0.99,0.01,MPEG25699,-1.9936,-51.6153
0.98,0.02,MPEG27688,-1.451,-48.4453
0.94,0.06,MPEG29325,-2.3867,-57.6395
0.93,0.07,MPEG29465,-4.4725,-56.2461
0.03,0.97,MTR09910,-14.7972,-39.05
0.00,1.00,MTR12160,-19.1517,-40.0644
0.00,1.00,MTR12291,-19.4483,-40.0804
1.00,0.00,MTR18907,-4.3072,-61.8155
1.00,0.00,MTR19241,-4.7279,-62.1321
1.00,0.00,MTR28130,-7.4388,-73.6582
0.00,1.00,MTR34278,-16.0944,-39.2748
0.00,1.00,MTR34436,-16.0944,-39.2748
0.97,0.03,MTR977671,-10.1758,-59.45
1.00,0.00,UFAC0085,-10.0679,-67.6063