cluster1,cluster2,cluster3,ID,plot_order,latitude,longitude,map_order
0,1,0,BM288,18,-3.3228,-51.8448,1
0,1,0,GN71,21,-9.7307,-54.6064,2
0,0,1,H1907,6,-9.4459,-64.8247,3
0,0,1,H1911,4,-9.4358,-64.8203,4
0,0,1,H2546,7,-9.5979,-65.3576,5
0,1,0,LSUMZH13910,14,-8.2509,-72.7677,6
0,0,1,LSUMZH14100,8,-8.3464,-65.7161,7
0,1,0,LSUMZH14336,19,-3.1354,-54.8416,8
0,0,1,LSUMZH15476,9,-10.3167,-64.55,9
0,1,0,MPEG20846,22,-2.6096,-56.1842,10
0,0,1,MPEG21348,3,-11.6996,-64.3915,11
0,1,0,MPEG24758,17,-1.7731,-56.3706,12
0,1,0,MPEG29314,16,-2.9096,-59.0495,13
0,1,0,MPEG29943,20,-4.1144,-55.6771,14
0,0,1,MTR18550,1,-4.3074,-61.8135,15
0,0,1,MTR25584,2,-10.7868,-63.6281,16
0,1,0,MTR28401,15,-7.5016,-73.7214,17
0,1,0,MTR28593,13,-10.0679,-67.6063,18
0,1,0,MTR976723,23,-13.1833,-53.2564,19
0,0,1,UNIBAN1670,5,-10.2987,-63.2375,20
0,1,0,MPEG28489,24,-2.5475,-56.2256,21
1,0,0,MTR20798,25,4.4621,-61.1451,22
0,0,1,LSUMZH12751,11,-0.2172,-75.8069,23
0,0,1,PJD409,10,-5.8174,-57.3956,24
0,1,0,MTR28048,26,-7.4424,-73.6575,25
0,1,0,MTR21474,27,-2.9979,-59.9494,26
0,1,0,MPEG22415,28,-1.2169,-48.2948,27
0,0,1,LSUMZH12577,12,-0.2172,-75.8069,28
0,1,0,MPEG26102,29,-1.9969,-51.6418,29
0,1,0,MTR978312,30,-9.9,-51.2,30
1,0,0,ICST764,31,-9.8092,-36.2838,31
1,0,0,MUFAL9635,32,-9.5073,-35.7099,32
1,0,0,IBSPCRIB0361,34,-23.7564,-46.0247,33
1,0,0,JFT459,37,-20.2811,-40.5219,34
1,0,0,JFT773,38,-19.96,-40.52,35
1,0,0,LG1299,44,-15.2696,-39.0694,36
1,0,0,MTR05978,33,-15.1547,-39.5233,37
1,0,0,MTR12338,36,-19.4483,-40.0804,38
1,0,0,MTR12511,46,-19.0564,-39.8942,39
1,0,0,MTR15267,40,-22.4354,-42.6216,40
1,0,0,MTR17744,39,-19.6411,-42.5333,41
1,0,0,MTR21545,35,-19.0556,-40.1473,42
1,0,0,MTR34227,43,-15.8958,-39.6611,43
1,0,0,MTR34414,45,-16.442,-39.07,44
1,0,0,MTRX1468,42,-20.9031,-41.7192,45
1,0,0,MTRX1478,41,-22.9712,-43.2547,46